style,gate,sample,pair_pt,algorithm,family,status,keypoints_a,keypoints_b,raw_matches,inlier_matches,correct,wrong,precision,mean_error_px,median_error_px,visualization,message
numeric,viewpoint,02,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000007_105/pair_000238.pt,PlanetaryFeatureMatch-current,pfm,ok,0,0,93,93,17,76,0.182796,142.357910,89.052414,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/pfm/numeric/viewpoint/02/02_source_000007_105_pair_000238.png,state=blend02540; score=texture; blend=4; margin=0.01; target_contrast=0
numeric,viewpoint,02,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000007_105/pair_000238.pt,SIFT-r0.80-Ht2,classical,ok,1024,1024,174,174,156,18,0.896552,20.841679,0.454469,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/02/SIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,02,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000007_105/pair_000238.pt,RootSIFT-r0.80-Ht2,classical,ok,1024,1024,182,182,167,15,0.917582,20.234407,0.456656,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/02/RootSIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,02,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000007_105/pair_000238.pt,RootSIFT-r0.90-Ht2,classical,ok,1024,1024,256,256,223,33,0.871094,25.808897,0.505800,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/02/RootSIFT-r0.90-Ht2.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,02,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000007_105/pair_000238.pt,ORB-cross-Ht3,classical,ok,1024,1024,256,256,171,85,0.667969,44.764000,1.883632,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/02/ORB-cross-Ht3.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,02,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000007_105/pair_000238.pt,AKAZE-cross-Ht3,classical,ok,510,577,189,189,98,91,0.518519,58.184162,4.285534,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/02/AKAZE-cross-Ht3.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,02,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000007_105/pair_000238.pt,LightGlue-SIFT-Ht3,learned,ok,448,449,282,282,275,7,0.975177,1.028734,0.471247,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/02/LightGlue-SIFT-Ht3.png,raw matcher output; no geometric postprocessing
timestamp,viewpoint,01,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/viewpoint/source_000123_20260514T144405909_NAS_PAN_L2b/pair_003819.pt,PlanetaryFeatureMatch-current,pfm,ok,0,0,104,104,5,99,0.048077,235.317841,253.867645,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/pfm/timestamp/viewpoint/01/01_source_000123_20260514T144405909_NAS_PAN_L2b_pair_003819.png,state=base; score=learned; blend=1; margin=0.01; target_contrast=0
timestamp,viewpoint,01,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/viewpoint/source_000123_20260514T144405909_NAS_PAN_L2b/pair_003819.pt,SIFT-r0.80-Ht2,classical,ok,1024,1024,256,256,248,8,0.968750,1.496882,0.532057,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/viewpoint/01/SIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
timestamp,viewpoint,01,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/viewpoint/source_000123_20260514T144405909_NAS_PAN_L2b/pair_003819.pt,RootSIFT-r0.80-Ht2,classical,ok,1024,1024,256,256,254,2,0.992188,0.754306,0.540693,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/viewpoint/01/RootSIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
